Tamanho,Marca,Quantidade,Valor Unitário
175/65R14,Michelin,20,150
185/70R14,Bridgestone,15,50
195/60R15,Pirelli,12,130
205/55R16,Goodyear,10,100
215/60R17,Continental,8,100
225/45R17,Dunlop,5,100
235/50R18,Hankook,9,100
245/40R19,Firestone,6,100
255/35R20,Yokohama,7,100
265/70R16,BF Goodrich,12,100
275/65R18,Falken,10,100
285/45R22,Kumho,4,100
295/30R19,Toyo,3,100
205/50R17,Michelin,14,100
215/65R16,Bridgestone,16,100
225/50R17,Pirelli,10,100
235/45R18,Goodyear,9,100
245/55R19,Continental,7,100
255/50R20,Dunlop,6,100
265/35R21,Hankook,8,100
175/70R13,Firestone,11,100
185/65R15,Yokohama,13,100
195/55R16,BF Goodrich,9,100
205/40R17,Falken,5,100
215/75R16,Kumho,4,100
225/65R17,Toyo,7,100
235/55R19,Michelin,6,100
245/35R20,Bridgestone,8,100
255/60R18,Pirelli,10,100
265/75R16,Goodyear,5,100
275/70R17,Continental,6,100
285/50R20,Dunlop,7,100
295/40R21,Hankook,8,100
305/35R22,Firestone,3,100
215/60R16,Yokohama,12,100
225/70R17,BF Goodrich,9,100
235/65R18,Falken,4,100
245/50R19,Kumho,6,100
255/55R18,Toyo,7,100
265/60R19,Michelin,10,100
275/55R20,Bridgestone,9,100
285/75R16,Pirelli,8,100
295/65R17,Goodyear,7,100
305/50R20,Continental,5,100
315/35R21,Dunlop,4,100
325/30R22,Hankook,3,100
335/25R23,Firestone,2,100
